"YEAR","Severity Class of Crash","County","Type of Factor","Contributing Factors","Total"
"2019","","BRONX","Crashes With Human Factors","Aggressive Driving/Road Rage","251"
"2019","","BRONX","Crashes With Human Factors","Alcohol Involvement","375"
"2019","","BRONX","Crashes With Human Factors","Backing Unsafely","752"
"2019","","BRONX","Crashes With Human Factors","Cell Phone (hand held)","37"
"2019","","BRONX","Crashes With Human Factors","Cell Phone (hands-free)","6"
"2019","","BRONX","Crashes With Human Factors","Driver Inattention/Distraction","5,734"
"2019","","BRONX","Crashes With Human Factors","Driver Inexperience","699"
"2019","","BRONX","Crashes With Human Factors","Drugs (Illegal)","28"
"2019","","BRONX","Crashes With Human Factors","Eating or Drinking","7"
"2019","","BRONX","Crashes With Human Factors","Failure to Keep Right","52"
"2019","","BRONX","Crashes With Human Factors","Failure to Yield Right-of-Way","1,895"
"2019","","BRONX","Crashes With Human Factors","Fatigued/Drowsy","71"
"2019","","BRONX","Crashes With Human Factors","Fell Asleep","127"
"2019","","BRONX","Crashes With Human Factors","Following Too Closely","2,522"
"2019","","BRONX","Crashes With Human Factors","Illness","43"
"2019","","BRONX","Crashes With Human Factors","Listening/Using Headphones","8"
"2019","","BRONX","Crashes With Human Factors","Lost Consciousness","48"
"2019","","BRONX","Crashes With Human Factors","Other Electronic Device","12"
"2019","","BRONX","Crashes With Human Factors","Outside Car Distraction","96"
"2019","","BRONX","Crashes With Human Factors","Passenger Distraction","96"
"2019","","BRONX","Crashes With Human Factors","Passing/Lane Changing/Improper Use","2,924"
"2019","","BRONX","Crashes With Human Factors","Pedestrian/Bicyclist Error/Confusion","511"
"2019","","BRONX","Crashes With Human Factors","Physical Disability","12"
"2019","","BRONX","Crashes With Human Factors","Prescription Medication","10"
"2019","","BRONX","Crashes With Human Factors","Reaction to Other Uninvolved Vehicle","545"
"2019","","BRONX","Crashes With Human Factors","Texting","3"
"2019","","BRONX","Crashes With Human Factors","Traffic Control Device Disregarded","644"
"2019","","BRONX","Crashes With Human Factors","Turning Improperly","718"
"2019","","BRONX","Crashes With Human Factors","Unsafe Speed","920"
"2019","","BRONX","Crashes With Human Factors","Using On Board Navigation Device","15"
"2019","","BRONX","Crashes With Human Factors","Vehicle Vandalism","1"
"2019","","BRONX","Crashes With Human Factors","Other Human","3"
"2019","","BRONX","Crashes With Vehicular Factors","Accelerator Defective","13"
"2019","","BRONX","Crashes With Vehicular Factors","Brakes Defective","163"
"2019","","BRONX","Crashes With Vehicular Factors","Driverless/Runaway Vehicle","29"
"2019","","BRONX","Crashes With Vehicular Factors","Headlights Defective","4"
"2019","","BRONX","Crashes With Vehicular Factors","Other Lighting Defects","5"
"2019","","BRONX","Crashes With Vehicular Factors","Oversized Vehicle","153"
"2019","","BRONX","Crashes With Vehicular Factors","Steering Failure","71"
"2019","","BRONX","Crashes With Vehicular Factors","Tinted Windows","4"
"2019","","BRONX","Crashes With Vehicular Factors","Tire Failure/Inadequate","56"
"2019","","BRONX","Crashes With Vehicular Factors","Tow Hitch Defective","4"
"2019","","BRONX","Crashes With Vehicular Factors","Windshield Inadequate","2"
"2019","","BRONX","Crashes With Vehicular Factors","Other Vehicular","1,251"
"2019","","BRONX","Crashes With Environmental Factors","Animal's Action","31"
"2019","","BRONX","Crashes With Environmental Factors","Glare","108"
"2019","","BRONX","Crashes With Environmental Factors","Lane Marking Improper/Inadequate","15"
"2019","","BRONX","Crashes With Environmental Factors","Obstruction/Debris","82"
"2019","","BRONX","Crashes With Environmental Factors","Pavement Defective","33"
"2019","","BRONX","Crashes With Environmental Factors","Pavement Slippery","352"
"2019","","BRONX","Crashes With Environmental Factors","Shoulders Defective/Improper","5"
"2019","","BRONX","Crashes With Environmental Factors","Traffic Control Device Improper/Non-Working","13"
"2019","","BRONX","Crashes With Environmental Factors","View Obstructed/Limited","408"
"2019","","KINGS","Crashes With Human Factors","Aggressive Driving/Road Rage","382"
"2019","","KINGS","Crashes With Human Factors","Alcohol Involvement","641"
"2019","","KINGS","Crashes With Human Factors","Backing Unsafely","1,368"
"2019","","KINGS","Crashes With Human Factors","Cell Phone (hand held)","46"
"2019","","KINGS","Crashes With Human Factors","Cell Phone (hands-free)","8"
"2019","","KINGS","Crashes With Human Factors","Driver Inattention/Distraction","11,552"
"2019","","KINGS","Crashes With Human Factors","Driver Inexperience","1,327"
"2019","","KINGS","Crashes With Human Factors","Drugs (Illegal)","42"
"2019","","KINGS","Crashes With Human Factors","Eating or Drinking","13"
"2019","","KINGS","Crashes With Human Factors","Failure to Keep Right","109"
"2019","","KINGS","Crashes With Human Factors","Failure to Yield Right-of-Way","4,765"
"2019","","KINGS","Crashes With Human Factors","Fatigued/Drowsy","95"
"2019","","KINGS","Crashes With Human Factors","Fell Asleep","221"
"2019","","KINGS","Crashes With Human Factors","Following Too Closely","4,721"
"2019","","KINGS","Crashes With Human Factors","Illness","69"
"2019","","KINGS","Crashes With Human Factors","Listening/Using Headphones","12"
"2019","","KINGS","Crashes With Human Factors","Lost Consciousness","79"
"2019","","KINGS","Crashes With Human Factors","Other Electronic Device","7"
"2019","","KINGS","Crashes With Human Factors","Outside Car Distraction","155"
"2019","","KINGS","Crashes With Human Factors","Passenger Distraction","157"
"2019","","KINGS","Crashes With Human Factors","Passing/Lane Changing/Improper Use","5,526"
"2019","","KINGS","Crashes With Human Factors","Pedestrian/Bicyclist Error/Confusion","793"
"2019","","KINGS","Crashes With Human Factors","Physical Disability","27"
"2019","","KINGS","Crashes With Human Factors","Prescription Medication","11"
"2019","","KINGS","Crashes With Human Factors","Reaction to Other Uninvolved Vehicle","693"
"2019","","KINGS","Crashes With Human Factors","Texting","6"
"2019","","KINGS","Crashes With Human Factors","Traffic Control Device Disregarded","1,488"
"2019","","KINGS","Crashes With Human Factors","Turning Improperly","1,302"
"2019","","KINGS","Crashes With Human Factors","Unsafe Speed","1,460"
"2019","","KINGS","Crashes With Human Factors","Using On Board Navigation Device","8"
"2019","","KINGS","Crashes With Human Factors","Other Human","."
"2019","","KINGS","Crashes With Vehicular Factors","Accelerator Defective","44"
"2019","","KINGS","Crashes With Vehicular Factors","Brakes Defective","272"
"2019","","KINGS","Crashes With Vehicular Factors","Driverless/Runaway Vehicle","35"
"2019","","KINGS","Crashes With Vehicular Factors","Headlights Defective","5"
"2019","","KINGS","Crashes With Vehicular Factors","Other Lighting Defects","9"
"2019","","KINGS","Crashes With Vehicular Factors","Oversized Vehicle","343"
"2019","","KINGS","Crashes With Vehicular Factors","Steering Failure","103"
"2019","","KINGS","Crashes With Vehicular Factors","Tinted Windows","21"
"2019","","KINGS","Crashes With Vehicular Factors","Tire Failure/Inadequate","62"
"2019","","KINGS","Crashes With Vehicular Factors","Tow Hitch Defective","3"
"2019","","KINGS","Crashes With Vehicular Factors","Windshield Inadequate","."
"2019","","KINGS","Crashes With Vehicular Factors","Other Vehicular","1,165"
"2019","","KINGS","Crashes With Environmental Factors","Animal's Action","37"
"2019","","KINGS","Crashes With Environmental Factors","Glare","105"
"2019","","KINGS","Crashes With Environmental Factors","Lane Marking Improper/Inadequate","38"
"2019","","KINGS","Crashes With Environmental Factors","Obstruction/Debris","83"
"2019","","KINGS","Crashes With Environmental Factors","Pavement Defective","53"
"2019","","KINGS","Crashes With Environmental Factors","Pavement Slippery","540"
"2019","","KINGS","Crashes With Environmental Factors","Shoulders Defective/Improper","1"
"2019","","KINGS","Crashes With Environmental Factors","Traffic Control Device Improper/Non-Working","33"
"2019","","KINGS","Crashes With Environmental Factors","View Obstructed/Limited","633"
"2019","","NASSAU","Crashes With Human Factors","Aggressive Driving/Road Rage","89"
"2019","","NASSAU","Crashes With Human Factors","Alcohol Involvement","516"
"2019","","NASSAU","Crashes With Human Factors","Backing Unsafely","2,276"
"2019","","NASSAU","Crashes With Human Factors","Cell Phone (hand held)","46"
"2019","","NASSAU","Crashes With Human Factors","Cell Phone (hands-free)","10"
"2019","","NASSAU","Crashes With Human Factors","Driver Inattention/Distraction","2,359"
"2019","","NASSAU","Crashes With Human Factors","Driver Inexperience","396"
"2019","","NASSAU","Crashes With Human Factors","Drugs (Illegal)","77"
"2019","","NASSAU","Crashes With Human Factors","Eating or Drinking","8"
"2019","","NASSAU","Crashes With Human Factors","Failure to Keep Right","208"
"2019","","NASSAU","Crashes With Human Factors","Failure to Yield Right-of-Way","9,146"
"2019","","NASSAU","Crashes With Human Factors","Fatigued/Drowsy","105"
"2019","","NASSAU","Crashes With Human Factors","Fell Asleep","296"
"2019","","NASSAU","Crashes With Human Factors","Following Too Closely","11,876"
"2019","","NASSAU","Crashes With Human Factors","Illness","110"
"2019","","NASSAU","Crashes With Human Factors","Listening/Using Headphones","1"
"2019","","NASSAU","Crashes With Human Factors","Lost Consciousness","88"
"2019","","NASSAU","Crashes With Human Factors","Other Electronic Device","11"
"2019","","NASSAU","Crashes With Human Factors","Outside Car Distraction","77"
"2019","","NASSAU","Crashes With Human Factors","Passenger Distraction","95"
"2019","","NASSAU","Crashes With Human Factors","Passing/Lane Changing/Improper Use","8,839"
"2019","","NASSAU","Crashes With Human Factors","Pedestrian/Bicyclist Error/Confusion","264"
"2019","","NASSAU","Crashes With Human Factors","Physical Disability","21"
"2019","","NASSAU","Crashes With Human Factors","Prescription Medication","16"
"2019","","NASSAU","Crashes With Human Factors","Reaction to Other Uninvolved Vehicle","989"
"2019","","NASSAU","Crashes With Human Factors","Texting","7"
"2019","","NASSAU","Crashes With Human Factors","Traffic Control Device Disregarded","1,476"
"2019","","NASSAU","Crashes With Human Factors","Turning Improperly","2,609"
"2019","","NASSAU","Crashes With Human Factors","Unsafe Speed","1,957"
"2019","","NASSAU","Crashes With Human Factors","Using On Board Navigation Device","16"
"2019","","NASSAU","Crashes With Human Factors","Other Human","37"
"2019","","NASSAU","Crashes With Vehicular Factors","Accelerator Defective","23"
"2019","","NASSAU","Crashes With Vehicular Factors","Brakes Defective","161"
"2019","","NASSAU","Crashes With Vehicular Factors","Driverless/Runaway Vehicle","44"
"2019","","NASSAU","Crashes With Vehicular Factors","Headlights Defective","5"
"2019","","NASSAU","Crashes With Vehicular Factors","Other Lighting Defects","9"
"2019","","NASSAU","Crashes With Vehicular Factors","Oversized Vehicle","172"
"2019","","NASSAU","Crashes With Vehicular Factors","Steering Failure","99"
"2019","","NASSAU","Crashes With Vehicular Factors","Tinted Windows","3"
"2019","","NASSAU","Crashes With Vehicular Factors","Tire Failure/Inadequate","111"
"2019","","NASSAU","Crashes With Vehicular Factors","Tow Hitch Defective","9"
