County,Year,crashes,killed,serious_injuries,VMT_100M
BERGEN,2019,23901,40,238,78.5979
BERGEN,2020,16299,43,228,62.3292
BERGEN,2021,20923,36,267,71.6161
BERGEN,2022,22742,44,305,73.6731
BERGEN,2023,24127,37,372,77.2171
BERGEN,2024,28178,38,311,78.8821
ESSEX,2019,28367,33,386,48.7664
ESSEX,2020,19431,47,368,42.9077
ESSEX,2021,22610,60,430,47.0401
ESSEX,2022,25520,50,376,47.9641
ESSEX,2023,22572,51,330,49.4579
ESSEX,2024,24282,55,343,50.3795
HUDSON,2019,17983,18,122,23.2751
HUDSON,2020,12132,22,107,18.9817
HUDSON,2021,15718,30,204,21.2024
HUDSON,2022,15066,17,166,21.6359
HUDSON,2023,15208,24,105,22.1979
HUDSON,2024,17367,19,198,22.7104
HUNTERDON,2019,3689,5,47,20.1839
HUNTERDON,2020,2641,12,51,17.0145
HUNTERDON,2021,2625,9,47,17.5028
HUNTERDON,2022,2988,8,55,18.089
HUNTERDON,2023,3419,5,53,18.6337
HUNTERDON,2024,3776,9,71,18.9111
MIDDLESEX,2019,25319,46,267,86.0412
MIDDLESEX,2020,17489,64,205,69.8793
MIDDLESEX,2021,20357,48,255,80.125
MIDDLESEX,2022,23525,68,325,82.8491
MIDDLESEX,2023,26277,59,322,86.5089
MIDDLESEX,2024,29307,57,325,87.7031
MONMOUTH,2019,16495,35,95,67.6134
MONMOUTH,2020,12911,34,145,57.2981
MONMOUTH,2021,14750,35,172,62.1804
MONMOUTH,2022,15359,50,187,63.2456
MONMOUTH,2023,16006,35,216,64.9111
MONMOUTH,2024,16043,48,196,66.2764
MORRIS,2019,13438,33,102,53.83
MORRIS,2020,8578,17,101,46.1038
MORRIS,2021,10270,25,145,51.417
MORRIS,2022,10486,20,99,52.7566
MORRIS,2023,11090,23,67,54.4878
MORRIS,2024,14154,21,141,55.547
OCEAN,2019,14231,35,156,49.7838
OCEAN,2020,11857,29,192,44.0381
OCEAN,2021,13516,45,214,48.8776
OCEAN,2022,14678,51,239,49.1044
OCEAN,2023,14904,43,179,50.7128
OCEAN,2024,14320,42,209,51.6922
PASSAIC,2019,15543,28,113,29.2234
PASSAIC,2020,11825,30,145,26.5983
PASSAIC,2021,12181,25,129,28.322
PASSAIC,2022,16182,26,204,29.0227
PASSAIC,2023,16028,24,183,30.3643
PASSAIC,2024,18149,32,211,30.3846
SOMERSET,2019,10335,11,139,35.6432
SOMERSET,2020,6700,13,96,31.1841
SOMERSET,2021,7641,25,92,32.6135
SOMERSET,2022,8357,18,155,34.1198
SOMERSET,2023,9595,25,148,37.6167
SOMERSET,2024,10181,17,132,38.0506
SUSSEX,2019,2833,15,57,12.4126
SUSSEX,2020,2301,7,42,10.8072
SUSSEX,2021,2230,10,40,11.6514
SUSSEX,2022,2653,14,37,11.769
SUSSEX,2023,2679,11,60,11.7754
SUSSEX,2024,3018,12,61,11.727
UNION,2019,16929,24,177,42.1117
UNION,2020,14673,29,151,33.5624
UNION,2021,17046,29,223,38.8213
UNION,2022,17498,28,185,41.1082
UNION,2023,20472,35,252,42.6494
UNION,2024,21110,38,265,43.5987
WARREN,2019,2921,10,46,14.7983
WARREN,2020,2518,12,45,13.2066
WARREN,2021,2574,15,58,14.326
WARREN,2022,2050,14,43,14.9196
WARREN,2023,1867,11,20,15.6417
WARREN,2024,3088,15,49,15.4941
