Outcome,Year,IRR,wcb_lo,wcb_hi,wcr_p
Crashes,2020,0.861,0.803,0.925,0.0048
Crashes,2021,0.904,0.841,0.973,0.0131
Crashes,2022,0.959,0.91,1.011,0.1034
Crashes,2023,0.959,0.867,1.062,0.397
Crashes,2024,1.039,0.931,1.161,0.4106
Fatalities,2020,1.273,1.032,1.577,0.0377
Fatalities,2021,1.254,1.034,1.53,0.021
Fatalities,2022,1.271,1.078,1.512,0.0336
Fatalities,2023,1.149,0.977,1.366,0.114
Fatalities,2024,1.19,1.016,1.41,0.0548
Serious injuries,2020,1.141,1.02,1.285,0.0341
Serious injuries,2021,1.248,1.094,1.43,0.0076
Serious injuries,2022,1.268,1.077,1.504,0.0093
Serious injuries,2023,1.184,0.922,1.517,0.1332
Serious injuries,2024,1.269,1.046,1.546,0.0227
